LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
23.25,60.25,1.0,1.15,1.41,1.61,1.73,1.87,2.0,1.85,1.44,1.04,0.86,0.89,1.41
23.25,60.75,1.0,1.15,1.41,1.61,1.73,1.87,2.0,1.85,1.44,1.04,0.86,0.89,1.41
23.25,61.25,0.97,1.15,1.41,1.6,1.73,1.92,2.05,1.91,1.49,1.03,0.84,0.88,1.42
23.25,61.75,0.97,1.15,1.41,1.6,1.73,1.92,2.05,1.91,1.49,1.03,0.84,0.88,1.42
23.25,62.25,0.88,1.03,1.29,1.51,1.71,1.96,2.18,2.07,1.57,1.03,0.83,0.83,1.41
23.25,62.75,0.88,1.03,1.29,1.51,1.71,1.96,2.18,2.07,1.57,1.03,0.83,0.83,1.41
23.25,63.25,0.87,1.02,1.27,1.51,1.72,2.01,2.26,2.1,1.61,1.06,0.84,0.82,1.43
23.25,63.75,0.87,1.02,1.27,1.51,1.72,2.01,2.26,2.1,1.61,1.06,0.84,0.82,1.43
23.25,64.25,0.86,1.0,1.24,1.49,1.74,2.03,2.29,2.14,1.63,1.08,0.83,0.79,1.43
23.25,64.75,0.86,1.0,1.24,1.49,1.74,2.03,2.29,2.14,1.63,1.08,0.83,0.79,1.43
23.25,65.25,0.84,0.99,1.21,1.5,1.76,2.06,2.32,2.15,1.62,1.1,0.85,0.79,1.44
23.25,65.75,0.84,0.99,1.21,1.5,1.76,2.06,2.32,2.15,1.62,1.1,0.85,0.79,1.44
23.25,66.25,0.83,0.98,1.22,1.52,1.78,2.1,2.33,2.18,1.62,1.11,0.82,0.75,1.44
23.25,66.75,0.83,0.98,1.22,1.52,1.78,2.1,2.33,2.18,1.62,1.11,0.82,0.75,1.44
23.25,67.25,0.79,0.95,1.16,1.51,1.78,2.12,2.33,2.17,1.62,1.12,0.81,0.72,1.43
23.25,67.75,0.79,0.95,1.16,1.51,1.78,2.12,2.33,2.17,1.62,1.12,0.81,0.72,1.43
