LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
23.25,60.25,22.26,22.64,24.25,26.92,29.22,29.77,28.74,27.53,27.43,27.82,26.25,23.81,26.39
23.25,60.75,22.23,22.58,24.14,26.67,28.68,29.01,27.8,26.62,26.71,27.48,26.15,23.8,25.99
23.25,61.25,22.2,22.52,24.09,26.56,28.47,28.69,27.43,26.29,26.39,27.28,26.09,23.79,25.82
23.25,61.75,22.21,22.49,24.08,26.5,28.41,28.64,27.35,26.27,26.33,27.21,26.06,23.81,25.78
23.25,62.25,22.23,22.47,24.08,26.46,28.36,28.65,27.38,26.34,26.37,27.17,26.06,23.84,25.78
23.25,62.75,22.26,22.47,24.09,26.43,28.34,28.69,27.48,26.46,26.45,27.15,26.07,23.88,25.81
23.25,63.25,22.3,22.49,24.12,26.42,28.33,28.74,27.6,26.59,26.55,27.15,26.09,23.93,25.86
23.25,63.75,22.36,22.53,24.15,26.42,28.32,28.8,27.71,26.74,26.65,27.15,26.11,23.99,25.91
23.25,64.25,22.39,22.55,24.18,26.41,28.29,28.86,27.86,26.91,26.76,27.18,26.15,24.03,25.97
23.25,64.75,22.42,22.57,24.21,26.4,28.25,28.93,28.01,27.09,26.89,27.22,26.2,24.07,26.02
23.25,65.25,22.45,22.61,24.25,26.38,28.21,28.99,28.17,27.26,27.01,27.27,26.27,24.11,26.08
23.25,65.75,22.47,22.65,24.3,26.38,28.16,29.04,28.3,27.42,27.11,27.34,26.32,24.13,26.13
23.25,66.25,22.47,22.69,24.35,26.36,28.11,29.06,28.4,27.53,27.2,27.39,26.34,24.11,26.17
23.25,66.75,22.42,22.71,24.38,26.35,28.06,29.08,28.46,27.59,27.26,27.42,26.28,24.01,26.17
23.25,67.25,22.18,22.64,24.4,26.36,28.05,29.12,28.52,27.64,27.31,27.42,26.12,23.73,26.12
23.25,67.75,21.78,22.48,24.46,26.45,28.09,29.18,28.59,27.67,27.38,27.47,25.98,23.33,26.07
23.25,68.25,21.18,22.29,24.76,26.9,28.45,29.47,28.77,27.79,27.56,27.66,25.84,22.74,26.12
23.25,68.75,20.29,22.21,25.61,28.16,29.6,30.34,29.33,28.22,28.07,28.12,25.61,21.78,26.45
23.25,69.25,19.53,21.88,26.09,29.13,30.72,31.11,29.68,28.52,28.44,28.13,24.93,20.9,26.59
23.25,69.75,19.42,21.95,26.58,29.95,31.67,31.81,30.05,28.9,28.9,28.36,24.86,20.75,26.93
23.25,70.25,19.51,22.15,27.03,30.66,32.54,32.45,30.33,29.19,29.25,28.54,24.93,20.8,27.28
23.25,70.75,19.58,22.31,27.39,31.26,33.33,33.02,30.45,29.28,29.41,28.55,24.87,20.8,27.52
23.25,71.25,19.63,22.42,27.63,31.73,34.02,33.51,30.42,29.15,29.32,28.37,24.66,20.73,27.63
23.25,71.75,19.95,22.66,27.84,32.03,34.52,33.92,30.45,29.05,29.25,28.28,24.71,21.01,27.81
23.25,72.25,20.13,22.77,27.9,32.1,34.72,33.96,30.16,28.6,28.86,27.89,24.61,21.17,27.74
23.25,72.75,20.18,22.8,27.91,32.11,34.76,33.76,29.7,28.02,28.3,27.33,24.34,21.19,27.53
23.25,73.25,20.13,22.74,27.87,32.09,34.7,33.37,29.17,27.47,27.72,26.75,23.98,21.09,27.26
23.25,73.75,20.0,22.52,27.61,31.89,34.46,32.79,28.63,27.05,27.22,26.28,23.73,20.99,26.93
23.25,74.25,19.77,22.24,27.21,31.47,33.98,32.05,28.02,26.49,26.49,25.51,23.16,20.68,26.42
23.25,74.75,19.23,21.72,26.69,31.01,33.52,31.38,27.39,25.93,25.8,24.75,22.43,20.07,25.83
23.25,75.25,18.66,21.27,26.32,30.81,33.4,31.09,27.05,25.62,25.4,24.21,21.8,19.42,25.42
23.25,75.75,18.27,21.05,26.23,30.94,33.72,31.23,27.05,25.61,25.32,23.95,21.38,18.93,25.31
23.25,76.25,18.16,21.11,26.39,31.28,34.26,31.62,27.23,25.73,25.38,23.83,21.17,18.72,25.41
23.25,76.75,18.08,21.1,26.47,31.5,34.67,31.91,27.29,25.8,25.42,23.71,21.0,18.6,25.46
23.25,77.25,17.91,20.97,26.41,31.55,34.87,32.05,27.28,25.85,25.47,23.63,20.84,18.42,25.44
23.25,77.75,17.86,20.94,26.43,31.67,35.1,32.24,27.32,25.95,25.58,23.65,20.79,18.35,25.49
23.25,78.25,17.9,21.01,26.52,31.86,35.35,32.47,27.41,26.07,25.68,23.66,20.76,18.31,25.58
23.75,60.25,22.15,22.49,24.09,26.7,29.19,29.89,29.02,27.7,27.49,27.84,26.25,23.75,26.38
23.75,60.75,22.11,22.45,24.05,26.58,28.83,29.35,28.31,27.03,26.96,27.59,26.16,23.72,26.09
23.75,61.25,22.07,22.41,24.02,26.5,28.63,28.99,27.87,26.62,26.63,27.4,26.09,23.69,25.91
23.75,61.75,22.07,22.38,24.0,26.45,28.53,28.88,27.72,26.55,26.55,27.32,26.06,23.7,25.85
23.75,62.25,22.09,22.36,24.0,26.4,28.46,28.85,27.69,26.58,26.57,27.28,26.05,23.72,25.84
23.75,62.75,22.12,22.36,24.02,26.37,28.41,28.85,27.73,26.67,26.62,27.25,26.06,23.76,25.85
23.75,63.25,22.18,22.39,24.05,26.35,28.38,28.87,27.8,26.78,26.69,27.24,26.08,23.82,25.89
23.75,63.75,22.24,22.43,24.08,26.35,28.35,28.89,27.89,26.9,26.77,27.24,26.11,23.88,25.93
23.75,64.25,22.27,22.45,24.11,26.34,28.31,28.93,28.01,27.04,26.86,27.24,26.14,23.92,25.97
23.75,64.75,22.29,22.48,24.14,26.32,28.26,28.98,28.14,27.19,26.95,27.26,26.19,23.96,26.01
23.75,65.25,22.31,22.51,24.17,26.3,28.21,29.03,28.27,27.33,27.05,27.3,26.24,23.99,26.06
23.75,65.75,22.31,22.54,24.21,26.28,28.14,29.05,28.37,27.45,27.13,27.35,26.27,23.98,26.09
23.75,66.25,22.27,22.55,24.23,26.25,28.07,29.06,28.45,27.53,27.17,27.36,26.25,23.92,26.09
23.75,66.75,22.13,22.52,24.25,26.24,28.02,29.08,28.51,27.59,27.22,27.37,26.13,23.7,26.06
23.75,67.25,21.46,22.37,24.56,26.74,28.5,29.55,28.89,27.92,27.58,27.59,25.84,22.95,26.16
