Latitude ( ° ),Longitude ( ° ),Optimal Tilt   ( ° ),Optimal  Azimuth ( ° ),Horizontal Radiation(KW-hr/m^2/Year),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),Fixed vs Monthly Energy % Difference,Horizontal Vs Tilt % diff
,,,,,,,,,,
24.25,67.75,25.00,0.00,1989.25,2121.44,336.78,2236.99,355.10,5.16,6.23
24.25,68.25,25.00,0.00,1912.60,2028.10,321.20,2136.07,338.29,5.05,5.70
24.25,68.75,25.00,0.00,1912.60,2028.10,320.65,2136.07,337.71,5.05,5.70
24.25,69.75,25.00,0.00,1905.30,2018.80,318.97,2126.88,336.04,5.08,5.62
24.25,70.75,25.00,0.00,1898.00,2004.29,316.41,2111.24,333.29,5.06,5.30
24.75,67.75,26.00,0.00,1989.25,2129.17,337.96,2244.92,356.31,5.15,6.57
24.75,68.25,25.00,0.00,1912.60,2035.16,322.08,2143.23,339.18,5.04,6.02
24.75,68.75,25.00,0.00,1912.60,2035.16,321.47,2143.23,338.54,5.04,6.02
24.75,69.25,25.00,0.00,1905.30,2025.74,319.75,2133.95,336.83,5.07,5.95
24.75,69.75,25.00,0.00,1905.30,2025.74,319.78,2133.95,336.86,5.07,5.95
24.75,70.25,26.00,0.00,1898.00,2011.14,317.41,2118.05,334.29,5.05,5.63
24.75,70.75,26.00,0.00,1898.00,2011.14,317.46,2118.05,334.33,5.05,5.63
25.25,61.75,23.00,0.00,1898.00,1999.81,317.32,2104.55,333.93,4.97,5.09
25.25,62.25,24.00,0.00,1894.35,2006.72,318.78,2112.56,335.57,5.00,5.60
25.25,63.25,24.00,0.00,1890.70,1998.14,317.61,2102.34,334.15,4.95,5.38
25.25,66.75,25.00,0.00,1974.65,2103.06,334.90,2218.26,353.23,5.19,6.11
25.25,67.25,24.00,0.00,1883.40,1990.01,316.56,2093.00,332.94,4.92,5.36
25.25,67.75,24.00,0.00,1883.40,1990.01,315.77,2093.00,332.13,4.92,5.36
25.25,68.25,24.00,0.00,1923.55,2018.03,318.72,2120.83,334.99,4.86,4.68
25.25,68.75,24.00,0.00,1923.55,2018.03,317.82,2120.83,334.05,4.86,4.68
25.25,69.25,26.00,0.00,1945.45,2077.14,327.54,2190.38,345.37,5.16,6.34
25.25,69.75,26.00,0.00,1945.45,2077.14,327.61,2190.38,345.45,5.16,6.34
25.25,70.25,26.00,0.00,1883.40,2007.44,316.91,2113.57,333.65,5.02,6.18
25.25,70.75,26.00,0.00,1883.40,2007.44,317.18,2113.57,333.94,5.02,6.18
25.75,62.25,25.00,0.00,1894.35,2013.51,319.00,2119.58,335.77,5.00,5.92
25.75,62.75,25.00,0.00,1894.35,2013.51,319.19,2119.58,335.97,5.00,5.92
25.75,63.25,25.00,0.00,1890.70,2004.86,318.22,2109.25,334.76,4.94,5.69
25.75,63.75,25.00,0.00,1890.70,2004.86,319.18,2109.25,335.77,4.94,5.69
25.75,64.25,25.00,0.00,1945.45,2068.61,329.20,2180.42,346.97,5.12,5.95
25.75,64.75,25.00,0.00,1945.45,2068.61,328.91,2180.42,346.68,5.12,5.95
25.75,65.25,25.00,0.00,1927.20,2045.61,325.07,2154.77,342.40,5.06,5.79
25.75,65.75,25.00,0.00,1927.20,2045.61,325.14,2154.77,342.47,5.06,5.79
25.75,66.25,26.00,0.00,1974.65,2110.84,335.75,2226.08,354.05,5.17,6.45
25.75,66.75,26.00,0.00,1974.65,2110.84,336.19,2226.08,354.52,5.17,6.45
25.75,67.25,25.00,0.00,1883.40,1996.72,317.85,2099.73,334.24,4.90,5.68
25.75,67.75,25.00,0.00,1883.40,1996.72,316.87,2099.73,333.22,4.91,5.68
25.75,68.25,24.00,0.00,1923.55,2024.57,319.33,2127.27,335.55,4.83,4.99
25.75,68.75,24.00,0.00,1923.55,2024.57,318.51,2127.27,334.69,4.83,4.99
25.75,69.25,27.00,0.00,1945.45,2084.90,328.54,2198.16,346.38,5.15,6.69
25.75,69.75,27.00,0.00,1945.45,2084.90,328.67,2198.16,346.51,5.15,6.69
25.75,70.25,27.00,0.00,1883.40,2014.73,318.03,2120.95,334.79,5.00,6.52
26.25,62.25,27.00,0.00,2051.30,2207.48,351.35,2336.17,371.77,5.49,7.07
26.25,62.75,27.00,0.00,2051.30,2207.48,351.70,2336.17,372.15,5.49,7.07
26.25,63.25,27.00,0.00,2044.00,2200.69,351.43,2327.79,371.67,5.45,7.12
26.25,63.75,27.00,0.00,2044.00,2200.69,352.52,2327.79,372.83,5.45,7.12
26.25,64.25,27.00,0.00,2029.40,2182.73,349.75,2307.97,369.77,5.41,7.02
26.25,64.75,27.00,0.00,2029.40,2182.73,348.93,2307.97,368.90,5.41,7.02
26.25,65.25,28.00,0.00,2025.75,2184.80,348.44,2310.57,368.44,5.43,7.28
26.25,65.75,28.00,0.00,2025.75,2184.80,347.94,2310.57,367.91,5.43,7.28
26.25,66.25,27.00,0.00,1992.90,2141.80,341.24,2263.08,360.52,5.35,6.95
26.25,66.75,27.00,0.00,1992.90,2141.80,341.40,2263.08,360.69,5.35,6.95
26.25,67.25,26.00,0.00,1927.20,2057.66,326.79,2168.41,344.36,5.10,6.34
26.25,67.75,26.00,0.00,1927.20,2057.66,325.30,2168.41,342.79,5.10,6.34
26.25,68.25,27.00,0.00,1912.60,2053.07,323.59,2164.09,341.08,5.13,6.84
26.25,68.75,27.00,0.00,1912.60,2053.07,323.35,2164.09,340.82,5.13,6.84
26.25,69.25,26.00,0.00,1872.45,2003.18,315.40,2109.32,332.10,5.03,6.53
26.25,69.75,26.00,0.00,1872.45,2003.18,315.60,2109.32,332.32,5.03,6.53
26.75,63.25,28.00,0.00,2044.00,2209.75,355.62,2336.78,375.99,5.42,7.50
26.75,63.75,28.00,0.00,2044.00,2209.75,356.04,2336.78,376.42,5.42,7.50
26.75,64.25,28.00,0.00,2029.40,2191.68,354.06,2316.85,374.19,5.38,7.40
26.75,64.75,28.00,0.00,2029.40,2191.68,353.66,2316.85,373.78,5.38,7.40
26.75,65.25,28.00,0.00,2025.75,2193.91,353.09,2319.61,373.24,5.40,7.66
26.75,65.75,28.00,0.00,2025.75,2193.91,352.15,2319.61,372.25,5.40,7.66
26.75,66.25,28.00,0.00,1992.90,2150.46,345.10,2271.70,364.49,5.32,7.33
26.75,66.75,28.00,0.00,1992.90,2150.46,344.13,2271.70,363.47,5.32,7.33
26.75,67.25,27.00,0.00,1927.20,2065.41,327.28,2176.14,344.79,5.08,6.69
26.75,67.75,27.00,0.00,1927.20,2065.41,325.08,2176.14,342.48,5.08,6.69
