Latitude ( ° ),Longitude ( ° ),Optimal Tilt ( ° ),Optimal Azimuth ( ° ),Fixed Tilt Radiation    (KW-hr/m^2/Year),Fixed Energy          (KW-hr/m^2/Year),Monthly Tilt Radiation         (KW-hr/m^2/Year),Monthly Energy (KW-hr/m^2/Year),% Difference,
24.25,67.75,25,0,2121.441981,336.7751847,2236.989847,355.097374,5.159764784,
24.25,68.25,25,0,2028.103615,321.1978896,2136.069533,338.2883709,5.052045182,
24.25,68.75,25,0,2028.103615,320.6513284,2136.069533,337.7135243,5.052269067,
24.25,69.75,25,0,2018.795494,318.9675435,2126.883528,336.0431801,5.081381681,
24.25,70.75,25,0,2004.293084,316.4076785,2111.242431,333.2862985,5.064300602,
24.75,67.75,26,0,2129.165536,337.9607235,2244.91595,356.3050542,5.148490152,
24.75,68.25,25,0,2035.155935,322.0816683,2143.232525,339.1839098,5.042173589,
24.75,68.75,25,0,2035.155935,321.4690936,2143.232525,338.5391365,5.042265763,
24.75,69.25,25,0,2025.742093,319.7497062,2133.95343,336.8281332,5.070368311,
24.75,69.75,25,0,2025.742093,319.7845773,2133.95343,336.8642812,5.07020331,
24.75,70.25,26,0,2011.143764,317.4093922,2118.05177,334.285374,5.048375761,
24.75,70.75,26,0,2011.143764,317.4562326,2118.05177,334.3332208,5.047954321,
25.25,61.75,23,0,1999.810698,317.321682,2104.546703,333.9349152,4.974991349,
25.25,62.25,24,0,2006.717975,318.7809745,2112.556392,335.5748747,5.004516593,
25.25,63.25,24,0,1998.142981,317.6073032,2102.344757,334.1523424,4.951346158,
25.25,66.75,25,0,2103.058247,334.900711,2218.259247,353.2280591,5.188531207,
25.25,67.25,24,0,1990.01271,316.5568282,2092.997404,332.9449127,4.92216096,
25.25,67.75,24,0,1990.01271,315.7725344,2092.997404,332.1291732,4.924782329,
25.25,68.25,24,0,2018.033726,318.7180843,2120.828052,334.989216,4.857210575,
25.25,68.75,24,0,2018.033726,317.8206301,2120.828052,334.0458011,4.857169591,
25.25,69.25,26,0,2077.143437,327.5356246,2190.378294,345.3726889,5.164584486,
25.25,69.75,26,0,2077.143437,327.6074163,2190.378294,345.44757,5.164359296,
25.25,70.25,26,0,2007.440764,316.911687,2113.573131,333.6498661,5.016689885,
25.25,70.75,26,0,2007.440764,317.184144,2113.573131,333.9362801,5.016566683,
25.75,62.25,25,0,2013.512477,318.998095,2119.575319,335.7708786,4.995306236,
25.75,62.75,25,0,2013.512477,319.1895919,2119.575319,335.9748625,4.995990023,
25.75,63.25,25,0,2004.861483,318.2178386,2109.25265,334.7607165,4.941702246,
25.75,63.75,25,0,2004.861483,319.1803828,2109.25265,335.7728813,4.941583843,
25.75,64.25,25,0,2068.608465,329.1962669,2180.415228,346.9740117,5.123653118,
25.75,64.75,25,0,2068.608465,328.912536,2180.415228,346.6752889,5.12374358,
25.75,65.25,25,0,2045.61333,325.0723418,2154.770928,342.398743,5.060299294,
25.75,65.75,25,0,2045.61333,325.1352115,2154.770928,342.4654009,5.060420493,
25.75,66.25,26,0,2110.837557,335.7493983,2226.084538,354.0488475,5.168622731,
25.75,66.75,26,0,2110.837557,336.1889697,2226.084538,354.5172104,5.16991564,
25.75,67.25,25,0,1996.715349,317.847292,2099.728096,334.2411947,4.904812151,
25.75,67.75,25,0,1996.715349,316.8674714,2099.728096,333.2156324,4.906180704,
25.75,68.25,24,0,2024.571177,319.3293736,2127.271767,335.5520077,4.83461093,
25.75,68.75,24,0,2024.571177,318.5109255,2127.271767,334.6917776,4.834553239,
25.75,69.25,27,0,2084.899259,328.5424171,2198.164648,346.3759223,5.148598407,
25.75,69.75,27,0,2084.899259,328.6699852,2198.164648,346.5099693,5.148476431,
25.75,70.25,27,0,2014.734037,318.0336073,2120.949728,334.7880282,5.004486291,
26.25,62.25,27,0,2207.475983,351.3460267,2336.167147,371.7674793,5.493071253,
26.25,62.75,27,0,2207.475983,351.7021435,2336.167147,372.1465312,5.493639204,
26.25,63.25,27,0,2200.687787,351.4254436,2327.786886,371.6665213,5.446031992,
26.25,63.75,27,0,2200.687787,352.5225309,2327.786886,372.8252087,5.44562901,
26.25,64.25,27,0,2182.725084,349.7512746,2307.968518,369.7681507,5.413358612,
26.25,64.75,27,0,2182.725084,348.9277394,2307.968518,368.8992762,5.413818362,
26.25,65.25,28,0,2184.803015,348.4378058,2310.566895,368.4399389,5.428872108,
26.25,65.75,28,0,2184.803015,347.9362305,2310.566895,367.9139605,5.430000521,
26.25,66.25,27,0,2141.797581,341.243324,2263.078748,360.5239716,5.347951645,
26.25,66.75,27,0,2141.797581,341.3993672,2263.078748,360.692079,5.348803845,
26.25,67.25,26,0,2057.662329,326.7864359,2168.405514,344.3612482,5.10359757,
26.25,67.75,26,0,2057.662329,325.2969124,2168.405514,342.7949077,5.104508528,
26.25,68.25,27,0,2053.066698,323.5932437,2164.090905,341.0779576,5.126310124,
26.25,68.75,27,0,2053.066698,323.3524563,2164.090905,340.8245154,5.126409148,
26.25,69.25,26,0,2003.180575,315.3983978,2109.315709,332.1019875,5.029656662,
26.25,69.75,26,0,2003.180575,315.6039057,2109.315709,332.3185036,5.029692208,
26.75,63.25,28,0,2209.749351,355.6234359,2336.777724,375.9863776,5.415872185,
26.75,63.75,28,0,2209.749351,356.0354267,2336.777724,376.4219099,5.415859884,
26.75,64.25,28,0,2191.67935,354.0572273,2316.851684,374.1948688,5.381592097,
26.75,64.75,28,0,2191.67935,353.66055,2316.851684,373.7764593,5.381802097,
26.75,65.25,28,0,2193.908121,353.086348,2319.605958,373.2409928,5.399901205,
26.75,65.75,28,0,2193.908121,352.1475238,2319.605958,372.2512917,5.400590488,
26.75,66.25,28,0,2150.464091,345.0967133,2271.704015,364.4859507,5.319611725,
26.75,66.75,28,0,2150.464091,344.1336048,2271.704015,363.4699365,5.319926023,
26.75,67.25,27,0,2065.406991,327.278629,2176.136335,344.7871275,5.078060363,
26.75,67.75,27,0,2065.406991,325.0848427,2176.136335,342.4795423,5.079047784,
26.75,68.25,27,0,2060.939753,324.2590239,2172.12962,341.714884,5.108311311,
26.75,68.75,27,0,2060.939753,324.5344745,2172.12962,342.0086255,5.109272019,
26.75,69.25,27,0,2010.625777,316.5990653,2116.877819,333.3063504,5.012591303,
27.25,63.25,28,0,2173.61953,350.172183,2296.3286,369.867548,5.324977869,
27.25,63.75,28,0,2173.61953,349.9560151,2296.3286,369.6404952,5.325304006,
27.25,64.25,28,0,2182.578782,352.1792266,2306.079008,372.0439362,5.339345081,
27.25,64.75,28,0,2182.578782,353.047099,2306.079008,372.9618611,5.339624288,
27.25,65.25,29,0,2208.973998,358.067518,2336.532336,378.668217,5.440303146,
27.25,65.75,29,0,2208.973998,357.9956839,2336.532336,378.5927888,5.440437708,
27.25,66.25,29,0,2165.208014,350.4006131,2288.522109,370.2818583,5.369219369,
27.25,66.75,29,0,2165.208014,348.6609357,2288.522109,368.4432068,5.369150723,
27.25,67.25,28,0,2074.10854,329.3392685,2186.77252,347.1685003,5.135613342,
27.25,67.75,28,0,2074.10854,326.2489285,2186.77252,343.9151569,5.136798457,
27.25,68.25,28,0,2111.146454,331.7621815,2227.759016,350.0302995,5.219010475,
27.25,68.75,28,0,2111.146454,332.1461277,2227.759016,350.4416847,5.220713702,
27.25,69.25,28,0,2033.182337,320.0622876,2142.59609,337.2623522,5.099906484,
27.75,63.25,29,0,2182.913744,349.9947539,2305.297348,369.5393181,5.288899778,
27.75,63.75,29,0,2182.913744,349.6895744,2305.297348,369.2186914,5.289308891,
27.75,64.25,29,0,2191.825013,351.3320013,2314.977643,371.0052451,5.302686171,
27.75,64.75,29,0,2191.825013,352.6284544,2314.977643,372.3767384,5.303307651,
27.75,65.25,29,0,2218.659355,359.2581825,2345.92496,379.7773842,5.402955141,
27.75,65.75,29,0,2218.659355,361.1887614,2345.92496,381.8167372,5.402585532,
27.75,66.25,29,0,2174.612618,354.5863457,2297.726291,374.5710217,5.335350268,
27.75,66.75,29,0,2174.612618,352.3486743,2297.726291,372.2081743,5.335589431,
27.75,67.25,29,0,2082.67123,331.9405958,2195.188429,349.8101081,5.108346471,
27.75,67.75,29,0,2082.67123,328.0661617,2195.188429,345.7296372,5.109042916,
27.75,68.25,29,0,2120.046113,333.139479,2236.517684,351.378327,5.190658216,
27.75,68.75,29,0,2120.046113,333.3047618,2236.517684,351.5604532,5.192760224,
27.75,69.25,28,0,2041.348236,321.2126663,2150.848312,338.4005452,5.079152248,
27.75,69.75,28,0,2041.348236,321.4859564,2150.848312,338.6911297,5.079900761,
27.75,70.75,28,0,2014.687354,317.5869031,2120.314071,334.2113627,4.97423532,
28.25,63.25,29,0,2152.82752,343.7626574,2270.912447,362.5664257,5.186296061,
28.25,63.75,28,0,2152.82752,344.1373115,2270.912447,362.9629141,5.186646317,
28.25,64.25,29,0,2147.431455,344.2801621,2266.423245,363.2879138,5.232145355,
28.25,64.75,29,0,2147.431455,345.0202181,2266.423245,364.0702389,5.232512504,
28.25,65.25,29,0,2188.526053,352.777349,2310.756787,372.4108247,5.271993827,
28.25,65.75,29,0,2188.526053,355.2862395,2310.756787,375.0576935,5.27157669,
28.25,66.25,30,0,2178.449846,357.6146037,2301.826667,377.7784792,5.337486556,
28.25,66.75,30,0,2178.449846,354.7949881,2301.826667,374.8015403,5.33790555,
28.25,67.25,29,0,2047.778301,327.4738129,2159.466301,345.2585435,5.151134101,
28.25,67.75,29,0,2047.778301,323.0399851,2159.466301,340.585736,5.151639963,
28.25,68.25,29,0,2037.436992,320.0477065,2147.962188,337.3747614,5.135847986,
28.25,68.75,29,0,2037.436992,320.0053977,2147.962188,337.3369829,5.137766132,
28.25,69.25,28,0,2060.590454,323.8331866,2172.926457,341.4739671,5.166068945,
28.25,69.75,28,0,2060.590454,324.0357592,2172.926457,341.6893907,5.166572904,
28.25,70.25,28,0,2041.581732,321.2332971,2150.656519,338.3725104,5.065190811,
28.25,70.75,28,0,2041.581732,321.4355681,2150.656519,338.5872394,5.065657922,
28.25,71.25,28,0,1970.722986,310.5275341,2072.908052,326.6043384,4.922409918,
28.25,71.75,28,0,1970.722986,310.6098313,2072.908052,326.691678,4.922637398,
28.75,61.75,30,0,2142.607616,346.8615881,2260.539683,365.8885475,5.20020633,
28.75,62.25,29,0,2166.060627,348.7524302,2285.285641,367.8826503,5.200087613,
28.75,62.75,29,0,2166.060627,347.8922658,2285.285641,366.9748112,5.19996056,
28.75,63.25,29,0,2162.124535,346.8366709,2280.006825,365.6705103,5.150494451,
28.75,63.75,29,0,2162.124535,347.0997113,2280.006825,365.9482718,5.150607867,
28.75,64.25,30,0,2156.892774,347.0269403,2275.669147,366.0665348,5.201129495,
28.75,64.75,30,0,2156.892774,347.618728,2275.669147,366.6906004,5.20108025,
28.75,65.25,30,0,2198.293025,354.7548324,2320.024906,374.3257088,5.228301435,
28.75,65.75,30,0,2198.293025,356.7685782,2320.024906,376.4504552,5.228278161,
28.75,66.25,31,0,2188.461491,360.8425926,2311.470033,381.0342392,5.29916856,
28.75,66.75,30,0,2188.461491,359.2343586,2311.470033,379.3381169,5.299693707,
28.75,67.25,30,0,2056.685425,330.5632765,2168.303638,348.4282247,5.127296526,
28.75,67.75,30,0,2056.685425,325.226899,2168.303638,342.8032972,5.127254735,
28.75,68.25,29,0,2045.987507,322.3380414,2156.389629,339.675846,5.104220626,
28.75,68.75,29,0,2045.987507,323.1802239,2156.389629,340.5696332,5.105977654,
28.75,69.25,29,0,2069.232414,327.442725,2181.281303,345.1362559,5.126534995,
28.75,69.75,29,0,2069.232414,326.8238279,2181.281303,344.4846729,5.126743335,
28.75,70.25,29,0,2050.079816,323.064968,2158.857065,340.1779136,5.030586897,
28.75,70.75,29,0,2050.079816,322.8458386,2158.857065,339.9477058,5.030734681,
28.75,71.25,29,0,1978.707534,311.9023948,2080.794394,327.9643616,4.897473205,
28.75,71.75,29,0,1978.707534,311.9953494,2080.794394,328.064119,4.898057631,
28.75,72.25,29,0,1972.839803,311.1637739,2074.003876,327.0955567,4.870681518,
29.25,61.75,29,0,2102.678708,338.9955659,2215.517556,357.1384433,5.080068464,
29.25,62.25,29,0,2119.184887,341.401793,2232.344243,359.5892363,5.057838618,
29.25,62.75,29,0,2119.184887,342.0954599,2232.344243,360.3191762,5.057659275,
29.25,63.25,30,0,2192.452843,354.3898681,2311.874501,373.6285186,5.149138662,
29.25,63.75,30,0,2192.452843,354.9227779,2311.874501,374.1906592,5.149214927,
29.25,64.25,30,0,2186.799127,353.8978506,2307.82164,373.4062333,5.224439475,
29.25,64.75,30,0,2186.799127,353.2841075,2307.82164,372.7573437,5.224105331,
29.25,65.25,30,0,2172.227401,350.3990321,2288.826251,369.153728,5.080456853,
29.25,65.75,30,0,2172.227401,352.1253624,2288.826251,370.973573,5.080742123,
29.25,66.25,30,0,2198.480643,361.0195997,2320.063179,380.9065754,5.220958886,
29.25,66.75,30,0,2198.480643,362.0707841,2320.063179,382.0159491,5.221029402,
29.25,67.25,30,0,2080.149808,335.9545526,2192.457166,354.0234724,5.103876196,
29.25,67.75,30,0,2080.149808,330.222236,2192.457166,347.9859437,5.104719907,
29.25,68.25,30,0,2118.723215,335.2237023,2232.275606,353.1481155,5.075607779,
29.25,68.75,30,0,2118.723215,337.9927138,2232.275606,356.0707456,5.077089884,
29.25,69.25,30,0,2064.092743,330.0815346,2173.929171,347.6023701,5.040482196,
29.25,69.75,30,0,2064.092743,328.3440134,2173.929171,345.772673,5.040496532,
29.25,70.25,30,0,1994.81021,315.5301814,2100.526973,332.2118089,5.021383055,
29.25,70.75,30,0,1994.81021,314.4362282,2100.526973,331.0589375,5.021072491,
29.25,71.25,30,0,2041.231427,322.0636356,2149.268284,339.0568616,5.011910367,
29.25,71.75,30,0,2041.231427,322.1553026,2149.268284,339.1558552,5.012607741,
29.25,72.25,29,0,1953.18851,308.4348568,2053.357762,324.2082094,4.865192232,
29.25,72.75,29,0,1953.18851,308.587808,2053.357762,324.3703283,4.865586944,
29.75,66.25,31,0,2208.907467,361.1090001,2329.847957,380.7887165,5.1681459,
29.75,66.75,31,0,2208.907467,364.0238647,2329.847957,383.8625944,5.16818517,
29.75,67.25,31,0,2089.672236,340.4110757,2201.544437,358.563595,5.062566201,
29.75,67.75,31,0,2089.672236,336.1903266,2201.544437,354.1203495,5.063256845,
29.75,68.25,31,0,2128.343893,341.1775685,2241.312344,359.2409375,5.028204512,
29.75,68.75,31,0,2128.343893,343.2586941,2241.312344,361.4349509,5.028915077,
29.75,69.25,31,0,2073.430294,335.0547523,2182.799256,352.6779118,4.996955836,
29.75,69.75,31,0,2073.430294,333.1283558,2182.799256,350.6508331,4.997129813,
29.75,70.25,30,0,2003.58475,318.9964994,2109.068311,335.7446371,4.98835598,
29.75,70.75,31,0,2003.58475,316.301774,2109.068311,332.9079618,4.988221895,
29.75,71.25,31,0,2050.390806,323.7645446,2158.172793,340.7241332,4.977513173,
29.75,71.75,31,0,2050.390806,323.852344,2158.172793,340.8186072,4.978091821,
29.75,72.25,30,0,1961.587215,309.9908538,2061.702092,325.7624727,4.841447464,
29.75,72.75,30,0,1961.587215,310.1015545,2061.702092,325.8812301,4.842155385,
29.75,73.25,30,0,1949.89591,308.4142615,2047.684681,323.8331675,4.761373294,
