Latitude ( ° ),Longitude ( ° ),JAN ( ° ),FEB ( ° ),MAR ( ° ),APR ( ° ),MAY ( ° ),JUN ( ° ),JUL ( ° ),AUG ( ° ),SEP ( ° ),OCT ( ° ),NOV ( ° ),DEC ( ° )
24.25,67.75,49,39,25,11,-3,-8,-5,4,19,34,46,51
24.25,68.25,49,40,26,11,-3,-8,-5,4,19,34,46,51
24.25,68.75,49,40,26,11,-3,-8,-5,4,19,34,46,51
24.25,69.75,49,40,26,11,-3,-8,-5,4,19,34,46,52
24.25,70.75,50,40,27,12,-3,-9,-5,4,20,35,47,52
24.75,67.75,49,40,26,11,-3,-8,-5,4,20,35,47,52
24.75,68.25,50,40,26,11,-3,-8,-5,5,20,35,47,52
24.75,68.75,50,40,26,11,-3,-8,-5,5,20,35,47,52
24.75,69.25,50,40,26,11,-3,-8,-5,5,20,35,47,52
24.75,69.75,50,40,26,11,-3,-8,-5,5,20,35,47,52
24.75,70.25,51,41,27,12,-3,-9,-5,5,20,35,48,53
24.75,70.75,51,41,27,12,-3,-9,-5,5,20,35,48,53
25.25,61.75,49,39,25,12,-2,-8,-5,5,20,35,47,51
25.25,62.25,49,39,25,11,-2,-7,-5,5,20,35,47,51
25.25,63.25,49,40,25,12,-2,-8,-5,5,20,36,47,51
25.25,66.75,50,41,26,12,-2,-8,-5,5,21,36,47,52
25.25,67.25,50,40,26,12,-2,-8,-5,5,21,35,47,52
25.25,67.75,50,40,26,12,-2,-8,-5,5,21,35,47,52
25.25,68.25,50,40,27,13,-3,-9,-5,6,22,35,47,52
25.25,68.75,50,40,27,13,-3,-9,-5,6,22,35,47,52
25.25,69.25,50,41,26,12,-2,-8,-5,5,21,36,47,53
25.25,69.75,50,41,26,12,-2,-8,-5,5,21,36,47,53
25.25,70.25,50,40,26,12,-2,-8,-4,5,20,35,47,52
25.25,70.75,50,40,26,12,-2,-8,-4,5,20,35,47,52
25.75,62.25,50,40,26,12,-2,-7,-4,6,20,36,47,51
25.75,62.75,50,40,26,12,-2,-7,-4,6,20,36,47,51
25.75,63.25,50,40,26,12,-2,-7,-4,6,21,36,48,52
25.75,63.75,50,40,26,12,-2,-7,-4,6,21,36,48,52
25.75,64.25,50,41,26,13,-2,-8,-5,6,21,36,48,52
25.75,64.75,50,41,26,13,-2,-8,-5,6,21,36,48,52
25.75,65.25,50,40,26,12,-2,-8,-5,6,21,36,48,52
25.75,65.75,50,40,26,12,-2,-8,-5,6,21,36,48,52
25.75,66.25,51,41,27,13,-2,-8,-4,6,21,37,48,53
25.75,66.75,51,41,27,13,-2,-8,-4,6,21,37,48,53
25.75,67.25,50,40,27,13,-2,-8,-4,6,21,36,47,53
25.75,67.75,50,40,27,13,-2,-8,-4,6,21,36,47,53
25.75,68.25,50,41,28,13,-2,-8,-5,6,22,36,47,52
25.75,68.75,50,41,28,13,-2,-8,-5,6,22,36,47,52
25.75,69.25,51,41,27,13,-2,-7,-4,6,21,36,48,53
25.75,69.75,51,41,27,13,-2,-7,-4,6,21,36,48,53
25.75,70.25,51,41,27,12,-2,-7,-4,5,20,36,47,52
26.25,62.25,52,42,28,13,-2,-7,-5,7,22,38,50,54
26.25,62.75,52,42,28,13,-2,-7,-5,7,22,38,50,54
26.25,63.25,52,42,28,13,-2,-7,-5,7,23,38,50,54
26.25,63.75,52,42,28,13,-2,-7,-5,7,23,38,50,54
26.25,64.25,52,43,28,13,-2,-7,-5,7,22,38,50,54
26.25,64.75,52,43,28,13,-2,-7,-5,7,22,38,50,54
26.25,65.25,52,43,28,13,-2,-7,-4,7,22,38,50,54
26.25,65.75,52,43,28,13,-2,-7,-4,7,22,38,50,54
26.25,66.25,52,42,28,13,-2,-7,-4,6,22,37,49,54
26.25,66.75,52,42,28,13,-2,-7,-4,6,22,37,49,54
26.25,67.25,51,42,27,13,-2,-7,-4,7,22,37,49,54
26.25,67.75,51,42,27,13,-2,-7,-4,7,22,37,49,54
26.25,68.25,51,41,26,12,-1,-7,-4,6,21,36,48,53
26.25,68.75,51,41,26,12,-1,-7,-4,6,21,36,48,53
26.25,69.25,51,41,27,13,-1,-7,-4,6,21,36,48,53
26.25,69.75,51,41,27,13,-1,-7,-4,6,21,36,48,53
